id,escalation_type,level,card_id,created_at,updated_at
60,145,21,1011311,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
61,145,31,1011321,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
62,145,41,9016471,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
63,152,1,1009761,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
64,152,6,1009541,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
65,152,11,9009701,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
66,152,16,9009711,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
67,152,21,9016701,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
68,159,1,1009711,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
69,159,21,9009711,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
70,166,1,1007931,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
71,166,15,1006211,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
72,173,1,1008731,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
73,173,15,1007391,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
74,180,1,1008841,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
75,180,15,1008851,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
76,187,1,1017151,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
77,187,15,9017161,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
78,194,1,1008101,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
79,194,15,1008091,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
80,201,1,1007451,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
81,201,15,1007461,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
82,208,1,1010801,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
83,208,3,1010791,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
84,208,6,1009931,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
85,208,11,9009901,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
86,208,16,9009911,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
87,208,21,1009921,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
88,208,26,1009891,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
89,215,1,9008811,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
90,215,15,9008821,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
91,222,1,1003761,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
92,222,11,1003301,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
93,222,21,1001691,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
94,222,31,1004651,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
95,222,41,9018081,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
96,229,1,9007921,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
97,229,15,9008631,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
98,236,1,1006411,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
99,236,15,1008711,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
102,250,1,1008411,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
103,250,15,1006791,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
104,257,1,1009601,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
105,257,15,1009791,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
106,264,1,9013171,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
107,264,6,9013181,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
108,264,11,9015891,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
109,264,16,9015901,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
110,264,21,9019181,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
111,271,1,9015901,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
112,271,21,9015901,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
113,278,1,1009321,2024-06-05 09:25:09.506151,2024-06-05 09:25:09.506151
114,278,15,1009331,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
115,285,1,1009751,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
116,285,15,9009591,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
117,292,1,1009571,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
118,292,15,1009581,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
119,299,1,1009341,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
120,299,15,1009351,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
121,306,1,1011751,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
122,306,6,1011761,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
123,306,11,9013411,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
124,306,16,1013421,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
125,306,21,9020581,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
126,313,1,1013421,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
127,313,21,1013421,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
128,320,1,1011161,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
129,320,15,1011171,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
130,327,1,9011591,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
131,327,6,9112611,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
132,327,11,9113881,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
133,327,16,9113911,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
134,327,21,9020721,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
135,334,1,9113911,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
136,334,21,9113911,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
137,341,1,1005991,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
138,341,15,1007181,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
139,348,1,9109651,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
140,348,15,9109641,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
141,355,1,1010281,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
142,355,15,1010291,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
143,362,1,1010841,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
144,362,15,1010851,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
145,369,1,1010861,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
146,369,15,1010871,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
147,376,1,9013191,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
148,376,6,9013201,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
149,376,11,9016461,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
150,376,16,9016491,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
151,376,21,9021831,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
152,383,1,9016491,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
153,383,21,9016491,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
154,390,1,9212371,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
155,390,15,9013541,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
171,425,1,1014951,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
172,425,4,1014961,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
173,425,7,1014971,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
177,439,1,9004481,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
178,439,6,9008071,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
179,439,11,9107781,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
180,439,16,9102621,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
181,439,21,9022231,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
182,446,1,9005671,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
183,446,21,9005671,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
186,439,26,9022241,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
187,460,1,9008071,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
188,460,26,9008071,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
192,474,1,9011051,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
193,474,15,9011061,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
194,481,1,1010421,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
195,481,4,1010431,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
196,481,7,9110441,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
197,488,1,1012411,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
198,488,15,1012421,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
199,495,1,9009421,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
200,495,6,9009821,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
201,495,11,9009431,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
202,495,16,9009831,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
203,495,21,9022561,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
204,502,1,9009831,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
205,502,21,9009831,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
206,509,1,1009081,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
207,509,15,1009091,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
208,516,1,1010051,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
209,516,4,1010061,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
210,516,7,9010071,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
211,523,1,9010241,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
212,523,15,9110261,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
226,558,1,9010331,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
227,558,7,9014141,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
228,558,13,9014151,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
229,558,19,9014161,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
230,558,25,9014171,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
237,579,1,1010151,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
238,579,4,9009661,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
239,579,7,9010161,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
240,586,1,9014811,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
241,586,15,9014821,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
242,593,1,9015151,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
243,593,15,9014761,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
247,607,1,1014001,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
248,607,4,1014011,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
249,607,7,9014021,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
250,614,1,1002821,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
251,614,6,1010811,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
252,614,11,1005141,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
253,614,16,1010781,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
254,614,21,1002831,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
255,614,26,1007681,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
256,621,1,9015661,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
257,621,15,9015671,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
261,635,1,1014731,2024-06-05 09:25:09.511762,2024-06-05 09:25:09.511762
262,635,8,1014741,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
263,635,16,1014651,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
264,635,23,1014661,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
279,656,1,9016761,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
280,656,3,9016731,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
281,656,6,9016781,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
282,656,11,9016751,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
283,656,16,9016741,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
284,656,21,9016771,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
285,656,26,9007741,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
286,663,1,1011701,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
287,663,4,9011711,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
288,663,7,9011721,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
289,670,1,1013851,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
290,670,15,1013861,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
291,677,1,9009251,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
292,677,8,9009261,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
293,677,16,9011851,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
294,677,23,9009241,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
295,684,1,9023681,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
296,684,7,9023711,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
297,684,13,1023651,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
298,684,19,9023671,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
299,684,25,1023661,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
300,691,1,1011621,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
301,691,4,9111631,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
302,691,7,9011641,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
303,698,1,1016041,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
304,698,6,1016021,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
305,698,11,9016051,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
306,698,16,9016031,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
307,698,21,9024421,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
308,705,1,1016051,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
309,705,21,9016051,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
310,712,1,9011311,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
311,712,8,9011321,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
312,712,16,9011291,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
313,712,23,9011301,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
314,719,1,1012911,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
315,719,4,1012921,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
316,719,7,1012931,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
317,719,10,4012931,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
321,733,1,1012881,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
322,733,4,1012891,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
323,733,7,1012901,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
324,733,10,4012901,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
325,740,1,9014211,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
326,740,4,9014221,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
327,740,7,9024611,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
328,747,1,9014221,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
329,747,7,9014221,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
330,754,1,9013821,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
331,754,15,9013831,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
332,754,25,9013841,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
333,761,1,1008361,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
334,761,3,1010101,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
335,761,5,1000431,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
336,761,7,1003161,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
337,761,9,1015181,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
338,761,11,1012071,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
339,761,13,1006081,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
340,761,15,1010951,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
341,761,17,1009801,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
342,761,19,4002821,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
343,761,21,9006911,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
344,761,23,1004191,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
345,761,25,1011231,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
346,761,27,1005601,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
347,761,29,1011221,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
348,761,31,1004661,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
349,761,33,1005591,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
350,761,35,2000211,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
351,761,37,1020041,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
352,761,39,1020261,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
353,761,41,3000411,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
354,761,43,1002301,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
355,761,45,1019681,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
356,761,47,1000771,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
357,761,49,1009061,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
358,761,51,9022341,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
359,761,53,1004671,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
360,761,55,1002381,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
361,761,57,1018171,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
362,761,59,1002371,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
363,761,61,1002361,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
364,761,63,1019921,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
365,761,65,1000451,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
366,761,67,1006071,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
367,761,69,1006061,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
368,761,71,1006051,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
369,761,73,1003151,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
370,761,75,1006141,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
371,761,77,1002341,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
372,761,79,1012561,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
373,761,81,1006151,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
374,761,83,1001381,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
375,761,85,1011261,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
376,761,87,1000471,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
377,761,89,1000561,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
378,761,91,1000481,2024-06-05 09:25:09.517212,2024-06-05 09:25:09.517212
379,761,93,1017771,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
380,761,95,1016651,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
381,761,97,1000491,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
382,761,99,4017791,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
383,761,101,1016571,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
384,761,103,1003441,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
385,761,105,1004951,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
386,761,107,1003451,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
387,761,109,1022261,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
388,761,111,1012121,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
389,761,113,1013141,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
390,761,115,2000071,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
391,761,117,1019931,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
392,761,119,1013311,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
393,761,121,1013351,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
394,761,123,1000461,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
395,761,125,1002281,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
396,761,127,4005171,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
397,761,129,1013111,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
398,761,131,1023931,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
399,761,133,1020061,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
400,761,135,1022791,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
401,761,137,9022911,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
402,761,139,9022901,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
403,761,141,1009141,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
404,761,143,1020251,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
405,761,145,1009811,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
406,761,147,1007601,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
407,761,149,1007591,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
408,761,151,1007581,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
409,761,153,1000781,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
410,761,155,1019511,2024-06-05 09:25:09.522642,2024-06-05 09:25:09.522642
