id,ai_type,action_type,weight,hp_rate_begin,hp_rate_end,min_interval,max_number,atk_rate_1,atk_rate_2,max_num_per_turn,recover_hp_rate,next_ai_type,ai_param,ai_param2,attack_order,created_at,updated_at
23,12,1,83,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
24,12,2,17,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
25,13,2,100,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
26,13,2,100,0.0,50.0,1,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
27,14,2,100,50.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
28,14,2,100,0.0,50.0,2,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
29,15,2,100,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
30,16,2,30,0.0,30.0,2,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
31,16,2,15,31.0,50.0,2,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
32,16,2,5,51.0,80.0,2,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
33,16,1,75,31.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
34,17,1,25,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
35,17,2,30,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
36,17,3,45,0.0,100.0,0,999,100,40,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
37,18,1,35,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
38,18,2,25,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
39,18,3,40,0.0,100.0,0,999,100,40,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
40,19,0,62,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
41,19,1,27,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
42,19,2,11,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
43,20,0,40,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
44,20,1,28,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
45,20,2,10,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
46,20,4,22,0.0,60.0,0,999,100,100,1,5,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
47,21,0,35,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
48,21,1,58,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
49,21,2,7,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
50,22,1,83,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
51,22,2,17,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
52,23,1,46,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
53,23,2,17,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
54,23,4,37,0.0,70.0,0,999,100,100,1,30,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
55,24,1,47,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
56,24,2,20,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
57,24,4,33,0.0,70.0,0,999,100,100,1,20,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
58,25,0,28,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
59,25,1,61,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
60,25,2,11,0.0,100.0,5,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
61,26,0,30,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
62,26,1,58,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
63,26,2,12,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
64,27,0,32,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
65,27,1,53,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
66,27,2,15,0.0,100.0,3,999,100,100,1,0,1000.0,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
67,1000,1,60,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
68,1000,5,40,0.0,100.0,0,999,100,100,2,0,1001.0,1.0,3.0,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
69,1001,1,35,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
70,1001,5,65,0.0,100.0,0,999,100,100,2,0,1002.0,1.0,2.0,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
71,1002,1,45,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
72,1002,5,55,0.0,100.0,0,999,100,100,1,0,1003.0,1.0,1.0,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
73,1003,0,100,0.0,100.0,0,999,100,100,1,0,1004.0,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
74,1004,0,100,0.0,100.0,0,999,100,100,1,0,1005.0,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
75,1005,2,100,0.0,100.0,0,999,100,100,1,0,1006.0,291.0,1274.0,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
76,1006,0,100,0.0,100.0,0,999,100,100,2,0,1007.0,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
77,1007,0,100,0.0,100.0,0,999,100,100,1,0,27.0,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
78,28,0,30,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
79,28,1,48,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
80,28,2,22,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
81,29,0,25,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
82,29,1,45,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
83,29,2,30,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
84,31,0,29,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
85,31,1,61,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
86,31,2,10,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
87,30,1,1,0.0,50.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
88,30,2,99,0.0,50.0,0,1,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
89,33,0,20,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
90,33,1,65,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
91,33,2,15,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
92,32,2,80,0.0,30.0,1,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
93,32,2,50,31.0,50.0,1,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
94,32,2,20,51.0,80.0,1,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
95,32,1,75,31.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
96,34,1,81,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
97,34,2,19,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
98,35,0,10,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
99,35,1,67,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
100,35,2,23,0.0,100.0,4,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.863840,2024-07-08 11:03:34.863840
101,36,0,30,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
102,36,1,60,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
103,36,2,10,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
104,37,0,30,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
105,37,1,45,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
106,37,2,25,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
107,38,0,8,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
108,38,1,60,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
109,38,2,12,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
110,38,3,20,0.0,100.0,0,999,100,40,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
111,39,1,88,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
112,39,2,12,0.0,100.0,4,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
113,40,0,10,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
114,40,1,70,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
115,40,2,20,0.0,100.0,5,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
116,41,0,23,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
117,41,1,62,0.0,100.0,0,999,100,100,5,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
118,41,2,15,0.0,100.0,6,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
119,42,0,22,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
120,42,1,48,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
121,42,2,30,0.0,100.0,4,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
122,43,1,3,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
123,43,2,1,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
124,43,4,96,0.0,100.0,0,999,100,100,1,20,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
125,2000,5,100,0.0,100.0,0,999,100,100,2,0,2001.0,1.0,3.0,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
126,2001,5,100,0.0,100.0,0,999,100,100,2,0,2002.0,1.0,2.0,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
127,2002,5,100,0.0,100.0,0,999,100,100,1,0,2003.0,1.0,1.0,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
128,2003,2,100,0.0,100.0,0,999,100,100,1,0,2000.0,443.0,1523.0,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
129,2000,1,0,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
130,2001,1,0,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
131,2002,1,0,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
132,44,0,19,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
133,44,1,67,0.0,100.0,0,999,100,100,5,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
134,44,2,14,0.0,100.0,6,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
135,45,0,10,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
136,45,1,75,0.0,100.0,0,999,100,100,5,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
137,45,2,15,0.0,100.0,5,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
138,46,0,40,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
139,46,1,48,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
140,46,2,12,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
141,46,4,200,0.0,80.0,0,999,100,100,1,100,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
142,47,0,20,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
143,47,1,25,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
144,47,2,15,0.0,100.0,5,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
145,47,4,40,0.0,80.0,0,999,100,100,1,25,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
146,48,0,10,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
147,48,1,30,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
148,48,2,20,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
149,48,4,40,0.0,80.0,0,999,100,100,1,23,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
150,49,0,20,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
151,49,1,25,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
152,49,2,15,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
153,49,4,40,0.0,80.0,0,999,100,100,1,20,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
154,50,0,8,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
155,50,1,77,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
156,50,2,15,0.0,100.0,4,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
157,3000,5,100,0.0,100.0,0,999,100,100,2,0,3001.0,1.0,3.0,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
158,3001,5,100,0.0,100.0,0,999,100,100,2,0,3002.0,1.0,2.0,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
159,3002,5,100,0.0,100.0,0,999,100,100,1,0,3003.0,1.0,1.0,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
160,3003,2,100,0.0,100.0,0,999,100,100,1,0,3000.0,552.0,1804.0,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
161,3000,1,0,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
162,3001,1,0,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
163,3002,1,0,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
164,51,0,5,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
165,51,1,60,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
166,51,2,17,0.0,100.0,2,999,100,100,2,0,,558.0,1817.0,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
167,51,2,18,0.0,100.0,2,999,100,100,2,0,,559.0,1818.0,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
168,52,0,18,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
169,52,1,47,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
170,52,2,17,0.0,100.0,3,999,100,100,2,0,,558.0,1822.0,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
171,52,2,18,0.0,100.0,3,999,100,100,2,0,,559.0,1821.0,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
172,53,0,22,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
173,53,1,53,0.0,100.0,0,999,100,100,5,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
174,53,2,25,0.0,100.0,2,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
175,54,1,81,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
176,54,2,19,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
177,55,0,15,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
178,55,1,68,0.0,100.0,0,999,100,100,6,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
179,55,2,17,0.0,100.0,5,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
180,56,0,13,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
181,56,1,71,0.0,100.0,0,999,100,100,6,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
182,56,2,16,0.0,100.0,5,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
183,57,0,17,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
184,57,1,65,0.0,100.0,0,999,100,100,6,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
185,57,2,18,0.0,100.0,5,999,100,100,1,0,,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
186,4000,1,100,0.0,100.0,0,999,100,100,7,0,4001.0,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
187,4001,1,100,0.0,100.0,0,999,100,100,7,0,4002.0,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
188,4002,1,100,0.0,100.0,0,999,100,100,7,0,4003.0,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
189,4003,5,100,0.0,100.0,0,999,100,100,1,0,4004.0,1.0,3.0,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
190,4004,1,100,0.0,100.0,0,999,100,100,7,0,4005.0,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
191,4005,1,100,0.0,100.0,0,999,100,100,7,0,4006.0,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
192,4006,1,100,0.0,100.0,0,999,100,100,7,0,4007.0,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
193,4007,0,100,0.0,100.0,0,999,100,100,1,0,4008.0,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
194,4008,1,100,0.0,100.0,0,999,100,100,7,0,4009.0,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
195,4009,1,100,0.0,100.0,0,999,100,100,7,0,4010.0,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
196,4010,5,100,0.0,100.0,0,999,100,100,2,0,4011.0,1.0,2.0,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
197,4011,1,100,0.0,100.0,0,999,100,100,7,0,4012.0,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
198,4012,2,100,0.0,100.0,0,999,100,100,1,0,4013.0,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
199,4013,1,100,0.0,100.0,0,999,100,100,7,0,4014.0,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
200,4014,1,100,0.0,100.0,0,999,100,100,7,0,4015.0,,,-1,2024-07-08 11:03:34.879147,2024-07-08 11:03:34.879147
201,4015,5,100,0.0,100.0,0,999,100,100,2,0,4016.0,1.0,1.0,-1,2024-07-08 11:03:34.893934,2024-07-08 11:03:34.893934
202,4016,0,100,0.0,100.0,0,999,100,100,1,0,4017.0,,,-1,2024-07-08 11:03:34.893934,2024-07-08 11:03:34.893934
203,4017,1,100,0.0,100.0,0,999,100,100,7,0,4018.0,,,-1,2024-07-08 11:03:34.893934,2024-07-08 11:03:34.893934
204,4018,1,100,0.0,100.0,0,999,100,100,7,0,4019.0,,,-1,2024-07-08 11:03:34.893934,2024-07-08 11:03:34.893934
