id,name,description,rarity,selling_exchange_point,created_at,updated_at
48,Celebration Summon Ticket,"Summon ticket for ""250 Million Global DLs Reached Celebration.""
1 ticket is required to perform one Single Summon 
in the ""Dokkan Festival Ticket Summon.""
Valid until 10/3 (Wed) 23:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
49,Weekend Summon Ticket,"A Summon Ticket for ""Weekend Summon"".
1 ticket is required to perform one summon
in the ""Weekend Summon"".
Valid until 4/29/2024 15:59 PST.",3,500,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
51,4th Anniversary Ticket,"Summon ticket for ""4th Anniversary! Ticket Summon"". 
Valid until 2019/8/16 21:59 PST.",3,500,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
52,Fighting Legend: Goku Ticket,"A Summon Ticket obtainable from 
the event ""Fighting Legend: Goku"". 
One ticket is required to perform one summon 
in the ""Fighting Legend: Goku Ticket Summon"".",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
53,Celebration Summon Ticket,"Summon ticket for ""300 Million Global DLs Reached 
Celebration Dokkan Festival Ticket Summon"".
Valid until 2019/10/2 23:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
54,Broken Tile,"An item to verify one's achievement in the 
""Tricks Won't Work! Tile Breaking Challenge"".",3,1,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
55,Celebration Summon Ticket,"A Summon Ticket for our 5th Anniversary Celebration! 
One ticket allows you to perform a Single Summon 
in the ""5th Anniversary! Ticket Summon"". 
Valid until 2020/8/12 15:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
56,"""55"" Special Summon Ticket","Summon Ticket for the ""5th Anniversary! '55' Special Summon"".
55 tickets are required to perform a Multi-Summon that grants
you 55 characters. Valid until 2020/8/12 15:59 PST.
Update: Can use 5 tickets to perform a Single-Summon
from 2020/8/12 16:00 ~ 2020/8/17 15:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
76,Celebration Summon Ticket,"A Summon Ticket for ""Worldwide Campaign Celebration!
Dokkan Festival"". One ticket allows you to perform
a Single-Summon in the ""Worldwide Campaign
Celebration! Dokkan Festival [Ticket]"".
Valid until 10/7 (Wed) 23:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
86,Celebration Summon Ticket,"A Summon Ticket for our 6th Anniversary Celebration! 
One ticket allows you to perform a Single-Summon 
in the ""6th Anniversary! Ticket Summon"". 
Valid until 8/15/2021 15:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
87,"""66"" Special Summon Ticket","Summon Ticket for ""6th Anniversary! '66' Special Summon 
[Ticket]"". 66 tickets are required to perform a Multi-Summon 
that allows you to recruit 66 characters. Valid until 8/15/2021 
15:59 PST. Update: Can use 5 tickets to perform a 
Single-Summon from 8/15/2021 16:00 ~ 8/19/2021 15:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
88,Tons of Thanks Summon Ticket,"Summon Ticket for ""6th Anniversary! Tons of Thanks"". 
One ticket allows you to perform a Single-Summon 
in Summons where you can use this ticket.
Valid until 8/15/2021 15:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
101,Fighting Legend: Goku Ticket,"A Summon Ticket obtainable from 
the event ""Fighting Legend: Goku [GT Edition]"". 
One ticket is required to perform one summon in the 
""Fighting Legend: Goku [GT Edition] Ticket Summon"".",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
102,Winter Night Tons of Thanks Ticket,"Summon Ticket for ""Glittering Winter Night Tons of Thanks"". 
One ticket allows you to perform a Single-Summon 
in the Summon where you can use this ticket. 
Valid until 1/11/2022 04:00 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
103,Fighting Legend: Vegeta Ticket,"A Summon Ticket obtainable from 
the event ""Fighting Legend: Vegeta"". 
One ticket is required to perform one summon 
in the ""Fighting Legend: Vegeta Ticket Summon"".",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
104,Celebration Summon Ticket,"A Summon Ticket for the 350 Million Global DLs 
Reached Celebration. One ticket allows you to 
perform a Single-Summon in Summon Events where 
this ticket can be used. Valid until 10/7/2021 23:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
106,Dragon Ore,"A special item you can acquire from 
""Countdown to the 7th Anniversary! 
Super Missions from the 7 Masters"". 
Can be exchanged for Dragon Stones 
during the 7th Anniversary Celebration.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
107,Celebration Summon Ticket,"Summon Ticket for our 7th Anniversary Celebration. 
One ticket allows you to perform a Single-Summon 
in the ""7th Anniversary! Ticket Summon"". 
Valid until 8/20/2022 21:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
108,"""77"" Special Summon Ticket","Summon Ticket for ""7th Anniversary! 
'77' Special Summon [Ticket]"". 
Valid until 8/20/2022 21:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
109,Tons of Thanks Summon Ticket,"Summon Ticket for ""7th Anniversary! Tons of Thanks"". 
One ticket allows you to perform a Single-Summon 
in Summons where you can use this ticket. 
Valid until 8/14/2022 22:29 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
110,Red Zone Ticket,"A Summon Ticket obtainable from 
the event ""Ultimate Red Zone [Movie Edition]"". 
One ticket allows you to perform a Single-Summon 
in the ""Ultimate Red Zone Ticket Summon"".",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
111,Red Zone Ticket,"A Summon Ticket obtainable from 
the event ""Ultimate Red Zone [GT Edition]"". 
One ticket allows you to perform a Single-Summon 
in the ""Ultimate Red Zone Ticket Summon"".",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
112,Collaboration Summon Ticket,"Summon Ticket for the ""Movie Collaboration Ticket Summon"".
One ticket is required to perform a summon in the
""Movie Collaboration Ticket Summon"".
Valid until 9/2/2022 15:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
113,Starry Winter Night Tons of Thanks Ticket,"Summon Ticket for ""Starry Winter Night Tons of Thanks"". 
One ticket allows you to perform a Single-Summon 
in the Summon where you can use this ticket. 
Valid until 1/5/2023 21:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
114,Celebration Summon Ticket,"A Summon Ticket for ""Worldwide Campaign Celebration!"".
One ticket allows you to perform a Single-Summon
in Summon Events where this ticket can be used.
Valid until 10/9/2022 15:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
115,Red Zone Ticket,"A Summon Ticket obtainable from 
the event ""Ultimate Red Zone [GT Edition]"". 
One ticket allows you to perform a Single-Summon 
in the ""Ultimate Red Zone Ticket Summon"".",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
116,"""50"" Special Summon Ticket","Summon Ticket for ""'50' Special Summon"".
Valid until 10/9/2022 15:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
117,Red Zone Ticket,"A Summon Ticket obtainable from
the event ""Ultimate Red Zone [Movie Edition]"".
One ticket allows you to perform a Single-Summon
in the ""Ultimate Red Zone Ticket Summon"".",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
118,Red Zone Ticket,"A Summon Ticket obtainable from 
the event ""Ultimate Red Zone [Wicked Bloodline Edition]"". 
One ticket allows you to perform a Single-Summon 
in the ""Ultimate Red Zone Ticket Summon"".",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
119,Red Zone Ticket,"A Summon Ticket obtainable from
the event ""Ultimate Red Zone [Wicked Bloodline Edition]"".
One ticket allows you to perform a Single-Summon
in the ""Ultimate Red Zone Ticket Summon"".",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
126,Celebration Summon Ticket,"Summon Ticket for our 8th Anniversary Celebration. 
One ticket allows you to perform a Single-Summon 
in the ""8th Anniversary! Ticket Summon"". 
Valid until 8/18/2023 21:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
127,"""77"" Special Summon Ticket","Summon Ticket for ""8th Anniversary! 
'77' Special Summon [Ticket]"". 
Valid until 8/18/2023 21:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
130,Tons of Thanks Summon Ticket,"Summon Ticket for ""8th Anniversary! Tons of Thanks"". 
One ticket allows you to perform a Single-Summon 
in Summons where you can use this ticket. 
Valid until 8/18/2023 21:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
136,"""30"" Special Summon Ticket","Summon Ticket for ""'30' Special Summon"". 
Valid until 6/6/2023 21:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
137,Frosty Miracle Tons of Thanks Ticket,"Summon Ticket for ""Frosty Miracle Tons of Thanks"". 
One ticket allows you to perform a Single-Summon 
in the Summon where you can use this ticket. 
Valid until 1/6/2024 21:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
138,Red Zone Ticket,"A Summon Ticket obtainable from
the event ""Ultimate Red Zone [Dismal Future Edition]"".
One ticket allows you to perform a Single-Summon
in the ""Ultimate Red Zone Ticket Summon"".",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
139,Celebration Summon Ticket,"A Summon Ticket for ""Worldwide Campaign Celebration!"". 
One ticket allows you to perform a Single-Summon 
in Summon Events where this ticket can be used. 
Valid until 10/10/2023 15:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
140,"""50"" Special Summon Ticket","Summon Ticket for ""'50' Special Summon"". 
Valid until 10/10/2023 21:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
141,Tons of Thanks Summon Ticket,"Summon Ticket for ""Worldwide Campaign Celebration! 
Tons of Thanks"". One ticket allows you to perform a 
Single-Summon in Summons where you can use this ticket. 
Valid until 10/10/2023 15:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
150,Celebration Summon Ticket,"Summon Ticket for our 9th Anniversary Celebration. 
One ticket allows you to perform a Single-Summon 
in the ""9th Anniversary! Ticket Summon"". 
Valid until 8/19/2024 21:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
151,Red Zone Ticket,"A Summon Ticket obtainable from the event 
""Ultimate Red Zone [Movie Edition 2]"". 
One ticket allows you to perform a Single-Summon 
in the ""Ultimate Red Zone Ticket Summon"".",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
152,Red Zone Ticket,"A Summon Ticket obtainable from the event 
""Ultimate Red Zone [Movie Edition 2]"". 
One ticket allows you to perform a Single-Summon 
in the ""Ultimate Red Zone Ticket Summon"".",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
153,Tons of Thanks Summon Ticket,"Summon Ticket for ""9th Anniversary! Tons of Thanks"". 
One ticket allows you to perform a Single-Summon 
in Summons where you can use this ticket. 
Valid until 8/19/2024 21:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
160,Magnificent Battle Ticket,"A Summon Ticket obtainable from the event 
""Supreme Magnificent Battle [Dragon Ball Super Edition]"". 
One ticket allows you to perform a Single-Summon 
in the ""Supreme Magnificent Battle Ticket Summon"".",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
161,Magnificent Battle Ticket,"A Summon Ticket obtainable from the event 
""Supreme Magnificent Battle [Dragon Ball Super Edition]"". 
One ticket allows you to perform a Single-Summon 
in the ""Supreme Magnificent Battle Ticket Summon"".",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
162,"""30"" Special Summon Ticket","Summon Ticket for ""'30' Special Summon"". 
Valid until 6/5/2024 21:59 PST.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
163,Red Zone Ticket,"A Summon Ticket obtainable from the event 
""Ultimate Red Zone [Majin Buu Saga]"". 
One ticket allows you to perform a Single-Summon 
in the ""Ultimate Red Zone Ticket Summon"".",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
701,Hercule's Fortune Summon Ticket,"Summon ticket for ""Hercule's Fortune Summon."" 
1 ticket is required to perform one Single Summon.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
901,Returning Summon Ticket,"""Returning Exclusive"" SSR Guaranteed Ticket.
A ticket for a Multi-Summon in the 
Returning Exclusive Summon Event.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
902,Returning Summon Ticket,"Summon Ticket for the ""Returning Exclusive Summon"". 
10 tickets are required to perform a Multi-Summon 
that allows you to recruit 10 characters.",3,0,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
911,2nd Anniversary Legendary Summon Ticket,"A Summon ticket for “2nd Anniversary Legendary Summon.” 
10 tickets are required to perform one Single Summon. 
Valid until 7/15 06:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
921,Festival-Exclusive Character Guaranteed Ticket A,"Summon ticket for ""Festival-Exclusive Character 
Guaranteed Ticket Summon A"". 
1 ticket is required to perform one Single Summon. 
Valid until 12/24 23:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
922,Festival-Exclusive Character Guaranteed Ticket B,"Summon ticket for ""Festival-Exclusive Character 
Guaranteed Ticket Summon B"". 
1 ticket is required to perform one Single Summon. 
Valid until 12/24 23:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
931,Thank-You Summon Ticket A,"Summon ticket for ""Thank-You Ticket Summon A"". 
1 ticket is required to perform one Single Summon. 
Valid until 12/24 23:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
932,Thank-You Summon Ticket B,"Summon ticket for ""Thank-You Ticket Summon B"". 
1 ticket is required to perform one Single Summon. 
Valid until 12/24 23:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
941,Christmas Summon Ticket,"Summon ticket for ""Christmas Ticket Summon"". 
1 ticket is required to perform one Single Summon. 
Valid until 2018/1/13 21:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
951,"""Combat Power"" Ticket","Summon ticket for """"Combat Power Reinforcement"" 
Summon"". 
Valid until 2018/5/6 21:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
961,Extreme Z Dokkan Fes Ticket,"Summon ticket for ""Extreme Z Dokkan Festival 
Ticket Summon"". 
Valid until 2018/3/27 21:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
971,Super Dokkan Fes. Ticket,"Summon ticket for ""Super Dokkan Festival 
Ticket Summon"". 
Valid until 2018/5/10 21:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
972,Extreme Dokkan Fes. Ticket,"Summon ticket for ""Extreme Dokkan Festival 
Ticket Summon"". 
Valid until 2018/5/10 21:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
981,Dokkan Festival Ticket (A),"Summon ticket for ""Dokkan Festival Ticket Summon (A)"". 
Valid until 2018/8/12 21:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
982,Dokkan Festival Ticket (B),"Summon ticket for ""Dokkan Festival Ticket Summon (B)"". 
Valid until 2018/8/12 21:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
991,Super Dokkan Fes. Ticket,"Summon ticket for ""Super Dokkan Festival 
Ticket Summon"". 
Valid until 2019/12/8 21:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
992,Extreme Dokkan Fes. Ticket,"Summon ticket for ""Extreme Dokkan Festival 
Ticket Summon"". 
Valid until 2019/12/8 21:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
9001,Thank-You Dokkan Fest Ticket,"Summon ticket for ""Thank-You Dokkan Festival  
Ticket Summon"". 
Valid until 2018/12/21 21:59 PST.",3,50,2024-07-08 11:02:50.114982,2024-07-08 11:02:50.114982
9002,Weekend Summon Ticket,"A Summon Ticket for ""Weekend Summon.""
1 ticket is required to perform one summon
in the ""Weekend Summon"".",3,50,2024-07-08 11:02:50.122051,2024-07-08 11:02:50.122051
9003,Dokkan Festival Ticket,"Summon ticket for ""Dokkan Festival Ticket Summon"". 
Valid until 2019/10/28 21:59 PST.",3,50,2024-07-08 11:02:50.122051,2024-07-08 11:02:50.122051
9004,Halloween Ticket,"Summon Ticket for the ""Legendary Summon"" released 
during the Halloween Campaign. 
Valid until 2019/11/18 21:59 PST.",3,50,2024-07-08 11:02:50.122051,2024-07-08 11:02:50.122051
9005,Christmas Summon Ticket,"Summon Ticket for ""Merry Christmas! 
Dokkan Festival Ticket Summon"". 
Valid until 2020/1/5 21:59 PST.",3,50,2024-07-08 11:02:50.122051,2024-07-08 11:02:50.122051
9006,Premium Christmas Summon Ticket,"Summon Ticket for ""Merry Christmas! 
Premium Dokkan Festival Ticket Summon"". 
Valid until 2020/1/5 21:59 PST.",3,0,2024-07-08 11:02:50.122051,2024-07-08 11:02:50.122051
9007,Dokkan Festival Ticket,"Summon ticket for ""Dokkan Festival Ticket Summon"". 
Valid until 2020/2/27 21:59 PST.",3,50,2024-07-08 11:02:50.122051,2024-07-08 11:02:50.122051
9008,Dokkan Festival Ticket,"Summon ticket for ""Dokkan Festival Ticket Summon"". 
Valid until 2020/3/24 21:59 PST.",3,50,2024-07-08 11:02:50.122051,2024-07-08 11:02:50.122051
9009,Dokkan Festival Ticket,"Summon ticket for ""Dokkan Festival Ticket Summon"". 
Valid until 2020/4/26 21:59 PST.",3,50,2024-07-08 11:02:50.122051,2024-07-08 11:02:50.122051
9010,Dokkan Festival Ticket (A),"Summon Ticket for ""Dokkan Festival Ticket Summon (A)"". 
Valid until 2020/6/14 21:59 PST.",3,50,2024-07-08 11:02:50.122051,2024-07-08 11:02:50.122051
