id,kind,description,conditions,created_at,updated_at
32,0,Drop rates of Potential Orbs increase by 5%,"{""item_type"":""PotentialItem"",""benefit_permil"":50}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
33,0,Drop rates of characters increase by 5%,"{""item_type"":""Card"",""benefit_permil"":50}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
34,0,Drop rates of Treasure Items increase by 5%,"{""item_type"":""TreasureItem"",""benefit_permil"":50}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
35,0,Drop rates of Awakening Medals increase by 5%,"{""item_type"":""AwakeningItem"",""benefit_permil"":50}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
36,1,Amount of Zeni obtained increases by 6%,"{""benefit_permil"":60}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
37,0,Drop rates of Training Items increase by 6%,"{""item_type"":""TrainingItem"",""benefit_permil"":60}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
38,0,Drop rates of Support Items increase by 6%,"{""item_type"":""SupportItem"",""benefit_permil"":60}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
39,0,Drop rates of Potential Orbs increase by 6%,"{""item_type"":""PotentialItem"",""benefit_permil"":60}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
40,0,Drop rates of characters increase by 6%,"{""item_type"":""Card"",""benefit_permil"":60}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
41,0,Drop rates of Treasure Items increase by 6%,"{""item_type"":""TreasureItem"",""benefit_permil"":60}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
42,0,Drop rates of Awakening Medals increase by 6%,"{""item_type"":""AwakeningItem"",""benefit_permil"":60}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
43,1,Amount of Zeni obtained increases by 7%,"{""benefit_permil"":70}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
44,0,Drop rates of Training Items increase by 7%,"{""item_type"":""TrainingItem"",""benefit_permil"":70}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
45,0,Drop rates of Support Items increase by 7%,"{""item_type"":""SupportItem"",""benefit_permil"":70}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
46,0,Drop rates of Potential Orbs increase by 7%,"{""item_type"":""PotentialItem"",""benefit_permil"":70}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
47,0,Drop rates of characters increase by 7%,"{""item_type"":""Card"",""benefit_permil"":70}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
48,0,Drop rates of Treasure Items increase by 7%,"{""item_type"":""TreasureItem"",""benefit_permil"":70}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
49,0,Drop rates of Awakening Medals increase by 7%,"{""item_type"":""AwakeningItem"",""benefit_permil"":70}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
50,1,Amount of Zeni obtained increases by 8%,"{""benefit_permil"":80}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
51,0,Drop rates of Training Items increase by 8%,"{""item_type"":""TrainingItem"",""benefit_permil"":80}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
52,0,Drop rates of Support Items increase by 8%,"{""item_type"":""SupportItem"",""benefit_permil"":80}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
53,0,Drop rates of Potential Orbs increase by 8%,"{""item_type"":""PotentialItem"",""benefit_permil"":80}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
54,0,Drop rates of characters increase by 8%,"{""item_type"":""Card"",""benefit_permil"":80}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
55,0,Drop rates of Treasure Items increase by 8%,"{""item_type"":""TreasureItem"",""benefit_permil"":80}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
56,0,Drop rates of Awakening Medals increase by 8%,"{""item_type"":""AwakeningItem"",""benefit_permil"":80}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
57,1,Amount of Zeni obtained increases by 9%,"{""benefit_permil"":90}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
58,0,Drop rates of Training Items increase by 9%,"{""item_type"":""TrainingItem"",""benefit_permil"":90}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
59,0,Drop rates of Support Items increase by 9%,"{""item_type"":""SupportItem"",""benefit_permil"":90}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
60,0,Drop rates of Potential Orbs increase by 9%,"{""item_type"":""PotentialItem"",""benefit_permil"":90}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
61,0,Drop rates of characters increase by 9%,"{""item_type"":""Card"",""benefit_permil"":90}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
62,0,Drop rates of Treasure Items increase by 9%,"{""item_type"":""TreasureItem"",""benefit_permil"":90}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
63,0,Drop rates of Awakening Medals increase by 9%,"{""item_type"":""AwakeningItem"",""benefit_permil"":90}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
64,1,Amount of Zeni obtained increases by 10%,"{""benefit_permil"":100}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
65,0,Drop rates of Training Items increase by 10%,"{""item_type"":""TrainingItem"",""benefit_permil"":100}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
66,0,Drop rates of Support Items increase by 10%,"{""item_type"":""SupportItem"",""benefit_permil"":100}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
67,0,Drop rates of Potential Orbs increase by 10%,"{""item_type"":""PotentialItem"",""benefit_permil"":100}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
68,0,Drop rates of characters increase by 10%,"{""item_type"":""Card"",""benefit_permil"":100}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
69,0,Drop rates of Treasure Items increase by 10%,"{""item_type"":""TreasureItem"",""benefit_permil"":100}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
70,0,Drop rates of Awakening Medals increase by 10%,"{""item_type"":""AwakeningItem"",""benefit_permil"":100}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
71,4,Prices in Trade Points 1% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":10}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
72,4,Prices in Trade Points 2% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":20}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
73,4,Prices in Trade Points 3% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":30}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
74,4,Prices in Trade Points 4% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":40}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
75,4,Prices in Trade Points 5% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":50}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
76,4,Prices in Zeni 1% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":10}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
77,4,Prices in Zeni 2% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":20}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
78,4,Prices in Zeni 3% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":30}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
79,4,Prices in Zeni 4% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":40}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
80,4,Prices in Zeni 5% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":50}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
81,3,STA restoration time shortens by 3 seconds,"{""shortened_sec"":3}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
82,1,Amount of Zeni obtained increases by 12%,"{""benefit_permil"":120}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
83,1,Amount of Zeni obtained increases by 14%,"{""benefit_permil"":140}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
84,1,Amount of Zeni obtained increases by 16%,"{""benefit_permil"":160}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
85,1,Amount of Zeni obtained increases by 18%,"{""benefit_permil"":180}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
86,1,Amount of Zeni obtained increases by 20%,"{""benefit_permil"":200}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
87,1,Amount of Zeni obtained increases by 22%,"{""benefit_permil"":220}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
88,1,Amount of Zeni obtained increases by 24%,"{""benefit_permil"":240}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
89,1,Amount of Zeni obtained increases by 26%,"{""benefit_permil"":260}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
90,1,Amount of Zeni obtained increases by 28%,"{""benefit_permil"":280}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
91,1,Amount of Zeni obtained increases by 30%,"{""benefit_permil"":300}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
92,1,Amount of Zeni obtained increases by 32%,"{""benefit_permil"":320}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
93,1,Amount of Zeni obtained increases by 34%,"{""benefit_permil"":340}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
94,1,Amount of Zeni obtained increases by 36%,"{""benefit_permil"":360}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
95,1,Amount of Zeni obtained increases by 38%,"{""benefit_permil"":380}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
96,1,Amount of Zeni obtained increases by 40%,"{""benefit_permil"":400}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
97,1,Amount of Zeni obtained increases by 42%,"{""benefit_permil"":420}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
98,1,Amount of Zeni obtained increases by 44%,"{""benefit_permil"":440}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
99,1,Amount of Zeni obtained increases by 46%,"{""benefit_permil"":460}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
100,1,Amount of Zeni obtained increases by 48%,"{""benefit_permil"":480}",2024-06-05 09:22:50.062278,2024-06-05 09:22:50.062278
101,1,Amount of Zeni obtained increases by 50%,"{""benefit_permil"":500}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
102,1,Amount of Zeni obtained increases by 52%,"{""benefit_permil"":520}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
103,1,Amount of Zeni obtained increases by 54%,"{""benefit_permil"":540}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
104,1,Amount of Zeni obtained increases by 56%,"{""benefit_permil"":560}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
105,1,Amount of Zeni obtained increases by 58%,"{""benefit_permil"":580}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
106,1,Amount of Zeni obtained increases by 60%,"{""benefit_permil"":600}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
107,1,Amount of Zeni obtained increases by 62%,"{""benefit_permil"":620}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
108,1,Amount of Zeni obtained increases by 64%,"{""benefit_permil"":640}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
109,1,Amount of Zeni obtained increases by 66%,"{""benefit_permil"":660}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
110,1,Amount of Zeni obtained increases by 68%,"{""benefit_permil"":680}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
111,1,Amount of Zeni obtained increases by 70%,"{""benefit_permil"":700}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
112,1,Amount of Zeni obtained increases by 72%,"{""benefit_permil"":720}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
113,1,Amount of Zeni obtained increases by 74%,"{""benefit_permil"":740}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
114,1,Amount of Zeni obtained increases by 76%,"{""benefit_permil"":760}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
115,1,Amount of Zeni obtained increases by 78%,"{""benefit_permil"":780}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
116,1,Amount of Zeni obtained increases by 80%,"{""benefit_permil"":800}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
117,1,Amount of Zeni obtained increases by 82%,"{""benefit_permil"":820}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
118,1,Amount of Zeni obtained increases by 84%,"{""benefit_permil"":840}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
119,1,Amount of Zeni obtained increases by 86%,"{""benefit_permil"":860}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
120,1,Amount of Zeni obtained increases by 88%,"{""benefit_permil"":880}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
121,1,Amount of Zeni obtained increases by 90%,"{""benefit_permil"":900}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
122,1,Amount of Zeni obtained increases by 92%,"{""benefit_permil"":920}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
123,1,Amount of Zeni obtained increases by 94%,"{""benefit_permil"":940}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
124,1,Amount of Zeni obtained increases by 96%,"{""benefit_permil"":960}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
125,1,Amount of Zeni obtained increases by 98%,"{""benefit_permil"":980}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
126,1,Amount of Zeni obtained increases by 100%,"{""benefit_permil"":1000}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
127,2,Reward Boost restoration time shortens by 10 seconds,"{""shortened_sec"":10}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
128,2,Reward Boost restoration time shortens by 15 seconds,"{""shortened_sec"":15}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
129,2,Reward Boost restoration time shortens by 20 seconds,"{""shortened_sec"":20}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
130,2,Reward Boost restoration time shortens by 25 seconds,"{""shortened_sec"":25}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
131,2,Reward Boost restoration time shortens by 30 seconds,"{""shortened_sec"":30}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
132,2,Reward Boost restoration time shortens by 35 seconds,"{""shortened_sec"":35}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
133,2,Reward Boost restoration time shortens by 40 seconds,"{""shortened_sec"":40}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
134,2,Reward Boost restoration time shortens by 45 seconds,"{""shortened_sec"":45}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
135,2,Reward Boost restoration time shortens by 50 seconds,"{""shortened_sec"":50}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
136,2,Reward Boost restoration time shortens by 55 seconds,"{""shortened_sec"":55}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
137,2,Reward Boost restoration time shortens by 60 seconds,"{""shortened_sec"":60}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
138,3,STA restoration time shortens by 4 seconds,"{""shortened_sec"":4}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
139,3,STA restoration time shortens by 5 seconds,"{""shortened_sec"":5}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
140,3,STA restoration time shortens by 6 seconds,"{""shortened_sec"":6}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
141,4,Prices in Trade Points 6% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":60}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
142,4,Prices in Trade Points 7% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":70}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
143,4,Prices in Trade Points 8% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":80}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
144,4,Prices in Trade Points 9% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":90}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
145,4,Prices in Trade Points 10% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":100}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
146,4,Prices in Zeni 6% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":60}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
147,4,Prices in Zeni 7% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":70}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
148,4,Prices in Zeni 8% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":80}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
149,4,Prices in Zeni 9% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":90}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
150,4,Prices in Zeni 10% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":100}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
151,5,"Number of available attempts for 
""Give it a Dokkan! Punch Machine!"" increases by 1","{""area_id"":711,""additional_count"":1}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
152,5,"Number of available attempts for 
""Epic! Transcendent! Gods of Destruction Assemble"" increases by 1","{""area_id"":750,""additional_count"":1}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
153,5,"Number of available attempts for 
""Ultimate Red Zone [GT Edition]"" increases by 1","{""area_id"":770,""additional_count"":1}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
154,5,"Number of available attempts for 
""Ultimate Red Zone [Movie Edition]"" increases by 1","{""area_id"":771,""additional_count"":1}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
155,5,"Number of available attempts for 
""Ultimate Red Zone [Wicked Bloodline Edition]"" increases by 1","{""area_id"":772,""additional_count"":1}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
156,5,"Number of available attempts for 
""Ultimate Red Zone [SDBH Edition]"" increases by 1","{""area_id"":773,""additional_count"":1}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
157,5,"Number of available attempts for 
""Ultimate Red Zone [Red Ribbon Army Edition]"" increases by 1","{""area_id"":774,""additional_count"":1}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
158,5,"Number of available attempts for 
""Ultimate Red Zone [Dismal Future Edition]"" increases by 1","{""area_id"":775,""additional_count"":1}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
159,2,Reward Boost restoration time shortens by 70 seconds,"{""shortened_sec"":70}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
160,2,Reward Boost restoration time shortens by 80 seconds,"{""shortened_sec"":80}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
161,2,Reward Boost restoration time shortens by 90 seconds,"{""shortened_sec"":90}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
162,2,Reward Boost restoration time shortens by 100 seconds,"{""shortened_sec"":100}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
163,2,Reward Boost restoration time shortens by 110 seconds,"{""shortened_sec"":110}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
164,2,Reward Boost restoration time shortens by 120 seconds,"{""shortened_sec"":120}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
165,3,STA restoration time shortens by 7 seconds,"{""shortened_sec"":7}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
166,3,STA restoration time shortens by 8 seconds,"{""shortened_sec"":8}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
167,3,STA restoration time shortens by 9 seconds,"{""shortened_sec"":9}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
168,3,STA restoration time shortens by 10 seconds,"{""shortened_sec"":10}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
169,0,Drop rates of Training Items increase by 11%,"{""item_type"":""TrainingItem"",""benefit_permil"":110}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
170,0,Drop rates of Training Items increase by 12%,"{""item_type"":""TrainingItem"",""benefit_permil"":120}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
171,0,Drop rates of Training Items increase by 13%,"{""item_type"":""TrainingItem"",""benefit_permil"":130}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
172,0,Drop rates of Training Items increase by 14%,"{""item_type"":""TrainingItem"",""benefit_permil"":140}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
173,0,Drop rates of Training Items increase by 15%,"{""item_type"":""TrainingItem"",""benefit_permil"":150}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
174,0,Drop rates of Training Items increase by 16%,"{""item_type"":""TrainingItem"",""benefit_permil"":160}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
175,0,Drop rates of Training Items increase by 17%,"{""item_type"":""TrainingItem"",""benefit_permil"":170}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
176,0,Drop rates of Training Items increase by 18%,"{""item_type"":""TrainingItem"",""benefit_permil"":180}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
177,0,Drop rates of Training Items increase by 19%,"{""item_type"":""TrainingItem"",""benefit_permil"":190}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
178,0,Drop rates of Training Items increase by 20%,"{""item_type"":""TrainingItem"",""benefit_permil"":200}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
179,0,Drop rates of Training Items increase by 21%,"{""item_type"":""TrainingItem"",""benefit_permil"":210}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
180,0,Drop rates of Training Items increase by 22%,"{""item_type"":""TrainingItem"",""benefit_permil"":220}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
181,0,Drop rates of Training Items increase by 23%,"{""item_type"":""TrainingItem"",""benefit_permil"":230}",2024-06-05 09:22:50.070990,2024-06-05 09:22:50.070990
