id,budokai_motivation_id,type,description,conditions,created_at,updated_at
163,240,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 7 Win Streak,"{""continuous_title_num"":7}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1704,1704,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1705,1705,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 2 Win Streak,"{""continuous_title_num"":2}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1706,1706,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 3 Win Streak,"{""continuous_title_num"":3}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1707,1707,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 4 Win Streak,"{""continuous_title_num"":4}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1708,1708,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 5 Win Streak,"{""continuous_title_num"":5}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1709,1709,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 6 Win Streak,"{""continuous_title_num"":6}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1710,1710,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 7 Win Streak,"{""continuous_title_num"":7}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1804,1804,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1805,1805,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 2 Win Streak,"{""continuous_title_num"":2}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1806,1806,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 3 Win Streak,"{""continuous_title_num"":3}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1807,1807,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 4 Win Streak,"{""continuous_title_num"":4}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1808,1808,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 5 Win Streak,"{""continuous_title_num"":5}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1809,1809,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 6 Win Streak,"{""continuous_title_num"":6}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1810,1810,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 7 Win Streak,"{""continuous_title_num"":7}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1904,1904,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1905,1905,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 2 Win Streak,"{""continuous_title_num"":2}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1906,1906,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 3 Win Streak,"{""continuous_title_num"":3}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1907,1907,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 4 Win Streak,"{""continuous_title_num"":4}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1908,1908,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 5 Win Streak,"{""continuous_title_num"":5}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1909,1909,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 6 Win Streak,"{""continuous_title_num"":6}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
1910,1910,BudokaiMotivationUnlockCondition::ContinuousTitleCondition,Unlocked with a 7 Win Streak,"{""continuous_title_num"":7}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2004,2004,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2005,2005,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2006,2006,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2007,2007,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2008,2008,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2009,2009,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2010,2010,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2011,2011,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2012,2012,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2104,2104,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2105,2105,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2106,2106,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2107,2107,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2108,2108,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2109,2109,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2110,2110,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2111,2111,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2112,2112,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2204,2204,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2205,2205,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2206,2206,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2207,2207,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2208,2208,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2209,2209,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2210,2210,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2211,2211,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2212,2212,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2304,2304,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2305,2305,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2306,2306,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2307,2307,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2308,2308,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2309,2309,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2310,2310,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2311,2311,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2312,2312,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2404,2404,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2405,2405,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2406,2406,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2407,2407,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2408,2408,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2409,2409,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2410,2410,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2411,2411,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2412,2412,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2504,2504,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2505,2505,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2506,2506,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2507,2507,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2508,2508,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2509,2509,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2510,2510,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2511,2511,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2512,2512,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2604,2604,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2605,2605,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2606,2606,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2607,2607,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2608,2608,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2609,2609,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2610,2610,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2611,2611,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2612,2612,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2704,2704,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2705,2705,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-07-24 07:39:45.893415,2024-07-24 07:39:45.893415
2706,2706,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2707,2707,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2708,2708,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2709,2709,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2710,2710,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2711,2711,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2712,2712,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2804,2804,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2805,2805,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2806,2806,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2807,2807,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2808,2808,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2809,2809,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2810,2810,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2811,2811,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2812,2812,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2904,2904,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2905,2905,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2906,2906,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2907,2907,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2908,2908,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2909,2909,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2910,2910,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2911,2911,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
2912,2912,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3004,3004,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3005,3005,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3006,3006,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3007,3007,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3008,3008,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3009,3009,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3010,3010,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3011,3011,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3012,3012,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3104,3104,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3105,3105,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3106,3106,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3107,3107,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3108,3108,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3109,3109,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3110,3110,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3111,3111,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3112,3112,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3204,3204,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3205,3205,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3206,3206,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3207,3207,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3208,3208,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3209,3209,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3210,3210,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 7 Wins,"{""title_num"":7}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3211,3211,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 8 Wins,"{""title_num"":8}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3212,3212,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 9 Wins,"{""title_num"":9}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3304,3304,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 1 Win,"{""title_num"":1}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3305,3305,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 2 Wins,"{""title_num"":2}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3306,3306,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 3 Wins,"{""title_num"":3}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3307,3307,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 4 Wins,"{""title_num"":4}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3308,3308,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 5 Wins,"{""title_num"":5}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
3309,3309,BudokaiMotivationUnlockCondition::TitleCondition,Unlocked with 6 Wins,"{""title_num"":6}",2024-07-24 07:39:45.904115,2024-07-24 07:39:45.904115
